round_number,first_prize_numbers,bonus_numbers,draw_date,created_at,updated_at
181,3조550104,115474,2025-06-03,2025-06-03 09:01:01,2025-06-03 09:01:01
182,1조993750,772427,2025-06-03,2025-06-03 09:01:03,2025-06-03 09:01:03
183,4조321423,306633,2025-06-03,2025-06-03 09:01:04,2025-06-03 09:01:04
184,3조646362,443317,2025-06-03,2025-06-03 09:01:05,2025-06-03 09:01:05
185,4조577418,628266,2025-06-03,2025-06-03 09:01:06,2025-06-03 09:01:06
186,5조616814,212250,2025-06-03,2025-06-03 09:01:07,2025-06-03 09:01:07
187,5조200473,809797,2025-06-03,2025-06-03 09:01:09,2025-06-03 09:01:09
188,5조502522,957460,2025-06-03,2025-06-03 09:01:10,2025-06-03 09:01:10
189,4조466557,212372,2025-06-03,2025-06-03 09:01:11,2025-06-03 09:01:11
190,2조850365,730462,2025-06-03,2025-06-03 09:01:12,2025-06-03 09:01:12
191,4조296430,883654,2025-06-03,2025-06-03 09:01:13,2025-06-03 09:01:13
192,2조034210,718715,2025-06-03,2025-06-03 09:01:15,2025-06-03 09:01:15
193,2조491905,454185,2025-06-03,2025-06-03 09:01:16,2025-06-03 09:01:16
194,5조461102,840423,2025-06-03,2025-06-03 09:01:17,2025-06-03 09:01:17
195,4조531307,118693,2025-06-03,2025-06-03 09:01:18,2025-06-03 09:01:18
196,4조113393,349078,2025-06-03,2025-06-03 09:01:19,2025-06-03 09:01:19
197,4조966616,200861,2025-06-03,2025-06-03 09:01:20,2025-06-03 09:01:20
198,2조437803,620125,2025-06-03,2025-06-03 09:01:22,2025-06-03 09:01:22
199,4조103633,175709,2025-06-03,2025-06-03 09:01:23,2025-06-03 09:01:23
200,5조146362,260054,2025-06-03,2025-06-03 09:01:24,2025-06-03 09:01:24
201,1조472675,551745,2025-06-03,2025-06-03 09:01:25,2025-06-03 09:01:25
202,2조419093,193778,2025-06-03,2025-06-03 09:01:26,2025-06-03 09:01:26
203,3조453064,178824,2025-06-03,2025-06-03 09:01:28,2025-06-03 09:01:28
204,5조756397,738072,2025-06-03,2025-06-03 09:01:29,2025-06-03 09:01:29
205,1조472377,935471,2025-06-03,2025-06-03 09:01:30,2025-06-03 09:01:30
206,3조489075,587695,2025-06-03,2025-06-03 09:01:31,2025-06-03 09:01:31
207,3조211988,396540,2025-06-03,2025-06-03 09:01:32,2025-06-03 09:01:32
208,1조879829,039636,2025-06-03,2025-06-03 09:01:34,2025-06-03 09:01:34
209,4조998750,135188,2025-06-03,2025-06-03 09:01:35,2025-06-03 09:01:35
210,3조040662,941419,2025-06-03,2025-06-03 09:01:36,2025-06-03 09:01:36
211,1조960554,327793,2025-06-03,2025-06-03 09:01:37,2025-06-03 09:01:37
212,2조111915,481240,2025-06-03,2025-06-03 09:01:38,2025-06-03 09:01:38
213,1조156049,164947,2025-06-03,2025-06-03 09:01:40,2025-06-03 09:01:40
214,1조718766,087547,2025-06-03,2025-06-03 09:01:41,2025-06-03 09:01:41
215,1조849572,354129,2025-06-03,2025-06-03 09:01:42,2025-06-03 09:01:42
216,5조326117,248841,2025-06-03,2025-06-03 09:01:43,2025-06-03 09:01:43
217,5조817509,060717,2025-06-03,2025-06-03 09:01:44,2025-06-03 09:01:44
218,5조263338,885924,2025-06-03,2025-06-03 09:01:45,2025-06-03 09:01:45
219,5조425483,400155,2025-06-03,2025-06-03 09:01:47,2025-06-03 09:01:47
220,4조444739,171481,2025-06-03,2025-06-03 09:01:48,2025-06-03 09:01:48
221,5조131347,064200,2025-06-03,2025-06-03 09:01:49,2025-06-03 09:01:49
222,5조058627,651311,2025-06-03,2025-06-03 09:01:50,2025-06-03 09:01:50
223,5조279895,394453,2025-06-03,2025-06-03 09:01:51,2025-06-03 09:01:51
224,4조938763,760145,2025-06-03,2025-06-03 09:01:53,2025-06-03 09:01:53
225,3조245914,256347,2025-06-03,2025-06-03 09:01:54,2025-06-03 09:01:54
226,1조502275,940119,2025-06-03,2025-06-03 09:01:55,2025-06-03 09:01:55
227,5조068516,989890,2025-06-03,2025-06-03 09:01:56,2025-06-03 09:01:56
228,4조127317,906415,2025-06-03,2025-06-03 09:01:57,2025-06-03 09:01:57
229,1조441510,231818,2025-06-03,2025-06-03 09:01:58,2025-06-03 09:01:58
230,2조817209,127701,2025-06-03,2025-06-03 09:02:00,2025-06-03 09:02:00
231,3조660621,476220,2025-06-03,2025-06-03 09:02:01,2025-06-03 09:02:01
232,1조868476,117342,2025-06-03,2025-06-03 09:02:02,2025-06-03 09:02:02
233,4조378868,336899,2025-06-03,2025-06-03 09:02:03,2025-06-03 09:02:03
234,4조658373,240662,2025-06-03,2025-06-03 09:02:04,2025-06-03 09:02:04
235,4조817148,349458,2025-06-03,2025-06-03 09:02:06,2025-06-03 09:02:06
236,4조444431,874258,2025-06-03,2025-06-03 09:02:07,2025-06-03 09:02:07
237,5조793969,045886,2025-06-03,2025-06-03 09:02:08,2025-06-03 09:02:08
238,5조988942,291070,2025-06-03,2025-06-03 09:02:09,2025-06-03 09:02:09
239,4조277326,160764,2025-06-03,2025-06-03 09:02:11,2025-06-03 09:02:11
240,4조446648,761555,2025-06-03,2025-06-03 09:02:12,2025-06-03 09:02:12
241,2조106716,987868,2025-06-03,2025-06-03 09:02:13,2025-06-03 09:02:13
242,1조323164,436966,2025-06-03,2025-06-03 09:02:14,2025-06-03 09:02:14
243,2조084982,824649,2025-06-03,2025-06-03 09:02:15,2025-06-03 09:02:15
244,5조033337,223594,2025-06-03,2025-06-03 09:02:17,2025-06-03 09:02:17
245,1조179273,070373,2025-06-03,2025-06-03 09:02:18,2025-06-03 09:02:18
